,클래스ID,강의시작일,강의종료일,강사명,담당 매니저,강사 구분,언어(수업),총지급 강사료,클래스 수업료,class 종류,장소
772,CBeBhEmW,2023-03-28,2023-04-11,한원아,황준영,Korean,영어,"120,000","400,000",Co-Active Learning,경기 군포시 엘에스로182번길 4 (산본동)
773,noWIpjvh,2023-04-16,2023-04-23,유원준,유하늘,Korean,영어,"119,520","158,000",Language lab,"서울 중구 장충단로 275 (을지로6가, 두산타워빌딩)"
774,1ttvPky9,2023-01-21,2023-07-23,유원준,황수현,Korean,영어,"288,000","656,000",Language lab,서울 동대문구 천호대로 64 (용두동)
775,4KRxMXLH,2023-01-30,2023-07-23,오민호,오현서,Korean,영어,"240,000","660,000",Language lab,"서울 중구 세종대로 39 (남대문로4가, 대한서울상공회의소)"
776,Gddz195P,2022-09-04,2023-07-23,오민호,서지훈,Korean,영어,"240,000","540,000",Co-Active Learning,"서울 강동구 상일로6길 26 (상일동, 글로벌엔지니어링센터)"
777,wgqL6NHX,2022-08-31,2023-07-23,오민호,서지훈,Korean,영어,"120,000","270,000",Co-Active Learning,서울 강동구 상일동 500
778,8FmXPIUN,2023-04-08,2023-06-14,장현민,강하윤,Korean,영어,"1,320,000","2,970,000",Intensive,"서울 강서구 마곡동로 62 (마곡동, 마곡사이언스타워)"
779,V4P1ms9H,2023-01-28,2023-06-29,임원현,유예준,Korean,영어,0,0,Group,
780,AKmiIZaM,2023-01-28,2023-06-29,임원현,유예준,Korean,영어,0,0,Group,
781,VuWKtySC,2023-01-28,2023-06-29,임원현,유예준,Korean,영어,0,0,Group,
782,pvLxQGL2,2023-01-28,2023-06-29,임원현,유예준,Korean,영어,0,0,Group,
783,iL4Ztcmc,2023-01-28,2023-06-29,임원현,유예준,Korean,영어,0,0,Group,
784,EbT7BcZF,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"200,000","375,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
785,wOacZ3NK,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"360,000","675,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
786,KznflLB0,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"400,000","750,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
787,32nDFeh7,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"160,000","300,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
788,WnmsLGBr,2022-11-28,2023-07-05,유도하,김서진,Korean,영어,"320,000","600,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
789,hBCfdsSQ,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"160,000","300,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
790,p6PfOqiQ,2022-08-06,2023-07-23,유도하,김서진,Korean,영어,"116,155","150,000",1:1 (임원),충북 청주시 흥덕구 직지대로 337 (향정동)
791,Oyxv6Znm,2022-11-05,2023-05-08,유도하,김서진,Korean,영어,"360,000","675,000",1:1 (임원),"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
792,fWjMUIOw,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"84,000","187,500",Group,
793,urq1UAdM,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"84,000","187,500",Group,
794,gVe9efp7,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"84,000","187,500",Group,
795,08bAMahI,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"74,000","187,500",Group,
796,cLAx7IBQ,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"84,000","187,500",Group,
797,nWXOnhv0,2023-04-15,2023-07-10,조호준,서예린,Korean,영어,"84,000","187,500",Group,
798,l3Xp3aeJ,2023-02-04,2023-04-19,송성후,한승현,Korean,영어,"2,625,000","4,950,000",Language lab,"충남 천안시 서북구 3공단2로 56 (백석동, 아드반테스트코리아(주))"
799,zhz18qE7,2023-02-04,2023-04-19,송성후,한승현,Korean,영어,"240,000","480,000",Group,"충남 천안시 서북구 3공단2로 56 (백석동, 아드반테스트코리아(주))"
800,DqPmnttU,2022-10-03,2023-05-23,윤성서,오준희,F2/F5/F6,영어,"100,000","194,000",1:1 (임원),
801,CxbpJ3zS,2022-08-06,2023-07-23,윤성서,오재윤,F2/F5/F6,영어,"250,000","425,000",1:1 (임원),"경기 성남시 분당구 성남대로343번길 9 (정자동, 에스케이유타워)"
802,sjVCy57c,2022-09-06,2023-07-23,윤성서,이도윤,F2/F5/F6,영어,"150,000","330,000",Co-Active Learning,스타플라자 12층 Mars 회의실
803,CZVLZHLQ,2023-04-08,2023-07-23,송채성,배도희,F2/F5/F6,영어,"94,000","158,000",1:1 (임원),"서울 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크)"
804,AfeDutTJ,2023-04-13,2023-07-23,송채성,배도희,F2/F5/F6,영어,"94,000","158,000",1:1 (임원),경기 김포시 운양동 1306-6
805,kW0LnIY0,2022-11-06,2023-07-23,최서원,한예원,F2/F5/F6,영어,"400,000","636,000",Group,"경기 성남시 분당구 불정로 6 (정자동, 그린팩토리)"
806,HAMuhDYI,2023-03-25,2023-07-23,한현채,최은우,F2/F5/F6,영어,"400,000","785,000",Group,울산 SK어드밴스드
807,yviAALoH,2023-03-28,2023-07-23,한현채,최은우,F2/F5/F6,영어,"275,000","500,000",1:1 (임원),"울산 남구 신여천로 14-101 (여천동, SK에너지(주))"
808,ODrWRBdG,2023-01-01,2023-07-23,한현채,최은우,F2/F5/F6,영어,"275,000","500,000",1:1 (임원),울산 남구 상개동 341 (산업로 24) 폴리머 공장 / 행정동 2층
809,Tk7cxkba,2023-03-29,2023-06-22,한현채,임예빈,F2/F5/F6,영어,"110,000","204,000",1:1 (임원),대구
810,G0D5RXrx,2023-03-29,2023-06-22,한현채,임예빈,F2/F5/F6,영어,"110,000","204,000",1:1 (임원),RUC 3층
811,24ab1pDi,2023-03-29,2023-06-22,한현채,임예빈,F2/F5/F6,영어,"180,000","306,000",1:1 (임원),본관 5층
812,UOHG81Q0,2023-04-02,2023-06-22,한현채,임예빈,F2/F5/F6,영어,"110,000","204,000",1:1 (임원),본관 3층
813,5Z156Q0O,2023-03-11,2023-04-02,문현호,서민지,Korean,영어,0,"1,200,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
814,IlTifXPp,2023-04-08,2023-04-12,문현호,서민지,Korean,영어,0,"4,000,000",Intensive,"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
815,n9Mo2NUN,2023-03-25,2023-03-29,문현호,강하윤,Korean,영어,0,"7,500,000",특강,"서울 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크)"
816,QAk65UGO,2023-01-31,2023-04-11,송지민,박지후,F4,영어,"175,000","425,000",Group,"서울 강남구 봉은사로 115 (논현동, 노벨테크빌딩)"
817,G0zf0d2D,2023-02-26,2023-05-23,임준성,정하윤,Korean,영어,"216,000","420,000",Group,"경기 화성시 삼성전자로 1 (반월동, 삼성전자(주))"
818,2zZzbjPL,2023-01-31,2023-04-02,강민현,이시윤,Korean,영어,"82,000","190,000",Group,서울 강남구 테헤란로 129 (역삼동)
819,2zZzbjPL,2023-04-02,2023-05-02,강민현,이시윤,Korean,영어,"205,000","475,000",Group,서울 강남구 테헤란로 129 (역삼동)
820,4jYO6Zyi,2023-03-14,2023-06-13,강민현,문다온,Korean,영어,"123,000","255,000",Group,서울 용산구 청파로 373 (서계동)
821,sOr5BoP2,2022-09-12,2023-03-27,강민현,정다인,Korean,영어,"41,000","78,000",1:1 (임원),"서울 중구 동호로 330 (쌍림동, 씨제이제일제당센터)"
822,sOr5BoP2,2023-04-01,2023-05-20,강민현,정다인,Korean,영어,"164,000","312,000",1:1 (임원),"서울 중구 동호로 330 (쌍림동, 씨제이제일제당센터)"
823,JSNKg05Y,2023-03-25,2023-07-23,강민현,강태윤,Korean,영어,"287,000","560,000",Group,"서울 강남구 영동대로 517 (삼성동, 아셈타워)"
824,x6DZd9wY,2023-02-21,2023-05-16,강민현,박지후,Korean,영어,"288,000","560,000",Group,"서울 용산구 원효로 74 (원효로4가, 현대자동차원효로사옥)"
825,gp0xdfZq,2023-03-19,2023-06-13,강민현,유하늘,Korean,영어,"280,000","560,000",Group,"서울 강남구 테헤란로 510 (대치동, 루첸타워)"
826,jwWVEG4a,2023-03-18,2023-04-11,유원지,조서우,Korean,영어,0,"6,995,000",Language lab,경북 경주시 양남면 나아1길 10 (나아리)
827,eIJoQmiq,2023-04-11,2023-06-14,유원지,조서우,Korean,영어,0,0,Language lab,경북 경주시 양남면 나아1길 10 (나아리)
828,e4KjwYCp,2023-03-25,2023-07-23,윤수채,오준희,Korean,영어,"222,000","417,000",Group,"경기 성남시 분당구 불정로 6 (정자동, 그린팩토리)"
829,7tMENAOF,2023-03-25,2023-04-22,윤수채,오준희,Korean,영어,"74,000","139,000",Group,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
830,sYfGVq4R,2023-03-25,2023-04-22,윤수채,오준희,Korean,영어,"296,000","556,000",Group,
831,7gy1nm4B,2023-02-22,2023-04-22,윤수채,오준희,Korean,영어,"259,000","486,500",Group,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
832,qWpTlxHd,2023-03-25,2023-07-23,윤수채,오준희,Korean,영어,"74,000","139,000",Group,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
833,1gHagbtp,2022-09-25,2023-07-23,윤수채,강민성,Korean,영어,"370,000","750,000",1:1 (임원),경기 성남시 분당구 판교로255번길 28 (삼평동)
834,DnepQ2BS,2021-07-24,2023-07-23,윤수채,강민성,Korean,영어,"72,000","150,000",1:1 (임원),
835,8By8bK7u,2021-08-02,2023-07-23,윤수채,강민성,Korean,영어,"74,000","150,000",1:1 (임원),dhk 빌딩 5층
836,TYKlWEMN,2021-08-08,2023-07-23,윤수채,강민성,Korean,영어,"185,000","375,000",1:1 (임원),
837,M1jqT85w,2021-07-24,2023-07-23,윤수채,강민성,Korean,영어,"185,000","375,000",1:1 (임원),
838,Gvz5dKC4,2022-07-30,2023-07-23,윤수채,강민성,Korean,영어,"74,000","150,000",1:1 (임원),경기 성남시 분당구 판교로255번길 28 (삼평동)
839,wvZ2SKbo,2023-03-24,2023-04-02,윤수채,서지훈,Korean,영어,"7,000","110,000",Co-Active Learning,"경기 성남시 분당구 판교역로 220 (삼평동, 쏠리테크)"
840,un0odAYv,2023-01-28,2023-05-20,윤수채,이시윤,Korean,영어,"333,000","845,000",Group,"경기 성남시 분당구 판교로 255 (삼평동, 판교 이노밸리)"
841,z208xqcc,2022-01-29,2023-07-23,박은서,최은우,Korean,영어,"225,000","450,000",1:1 (임원),나인브릿지
842,Yf1I4dXx,2023-04-22,2023-04-22,최후하,조서우,Korean,영어,"275,000","500,000",1:1 (임원),"부산 부산진구 중앙대로 993 (양정동, 시청역롯데골드로즈)"
843,zR4ecqln,2023-03-24,2023-04-22,오예도,유예준,F2/F5/F6,영어,0,"3,522,727",기타,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)"
844,8635yeBJ,2023-04-22,2023-07-22,황채은,조태현,Korean,영어,"45,000","86,000",1:1 (임원),대전 서구 둔산서로 137 (KDB산업은행 4층)
845,qjVd6XX1,2023-04-15,2023-06-24,황채은,조태현,Korean,영어,"180,000","399,064",Group,"대전 서구 청사로 189 (둔산동, 정부대전청사)"
846,q1twr00o,2023-04-20,2023-06-22,황채은,윤지민,Korean,영어,"125,000","376,629",Group,"세종특별자치시 한누리대로 253 (나성동, 에스빌딩)"
847,Buf5zQcj,2023-04-16,2023-06-25,황채은,조태현,Korean,영어,"130,000","299,298",Group,"대전 서구 청사로 189 (둔산동, 정부대전청사)"
848,5U26BL5c,2023-02-11,2023-05-12,최후윤,조서우,Korean,영어,"540,000","1,147,500",Group,"부산 중구 중앙대로 지하 83 (중앙동4가, 도시철도 중앙역)"
849,V69BRWRM,2023-02-11,2023-05-06,최후윤,조서우,Korean,영어,"405,000","720,000",Group,
850,18e4AR2v,2022-09-26,2023-07-22,최후윤,최은우,Korean,영어,"270,000","510,000",1:1 (임원),부산 연제구 월드컵대로 190 (거제동)
851,xOelLNxi,2023-03-19,2023-06-18,최후윤,조서우,Korean,영어,"336,000","770,000",Group,"부산 사상구 대동로 303 (감전동, 부산디지털밸리아파트형공장)"
852,kn8XTCtm,2023-04-22,2023-05-21,한채하,박하진,Korean,영어,"140,000","210,000",1:1 (임원),경기 평택시 포승읍 하만호길 32 (만호리)
853,YTNalPku,2023-02-25,2023-05-10,한채하,정유나,Korean,영어,"582,000","1,005,000",1:1 (임원),충남 서산시 대산읍 대죽리 640-6
854,KbE2gFB7,2023-03-19,2023-06-06,한채하,조태현,Korean,영어,"464,000","696,000",Language lab,"충남 당진시 송악읍 북부산업로 1480 (고대리, 현대제철주식회사)"
855,8yLE5jDo,2022-09-05,2023-07-23,윤예수,배지호,F4,영어,"76,000","152,000",1:1 (임원),S-oil HQ 12F
856,I3ntVAWn,2022-09-05,2023-07-23,윤예수,배지호,F4,영어,"76,000",0,1:1 (임원),공덕 에쓰오일 본사
857,3HPCglxH,2022-09-05,2023-07-23,윤예수,배지호,F4,영어,"114,000","228,000",1:1 (임원),백범로 192 5층 어학당 내
858,3OhD17Oo,2022-09-05,2023-07-23,윤예수,배지호,F4,영어,"114,000","228,000",1:1 (임원),S-oil 본사 11F
859,V4fWtIyC,2022-11-07,2023-07-23,윤예수,배지호,F4,영어,"76,000","152,000",1:1 (임원),"서울 마포구 마포대로 지하 100 (공덕동, 공덕역)"
860,BxTwC8u0,2022-09-13,2023-07-23,윤예수,배지호,F4,영어,"114,000","228,000",1:1 (임원),백범로 192 S-oil 본사 6층
861,z9O2I9Jj,2022-09-06,2023-07-23,윤예수,배지호,F4,영어,"76,000","152,000",1:1 (임원),"서울 마포구 백범로 192 (공덕동, 에쓰오일사옥빌딩)"
862,jbxrp4RL,2022-09-06,2023-07-23,윤예수,배지호,F4,영어,"76,000","152,000",1:1 (임원),
863,MMtDOHDp,2023-02-21,2023-05-23,윤예수,강태윤,F4,영어,"266,000","600,000",1:1 (임원),18층 소회의실 5
864,IL5IWxB4,2022-12-25,2023-07-10,윤예수,유하늘,F4,영어,"76,000","170,000",1:1 (임원),"서울 중구 을지로 100 (을지로2가, 파인애비뉴)"
865,HTh5tqQW,2023-04-22,2023-04-22,오윤하,임예빈,Korean,인니어,"125,000",0,Group,"부산 영도구 절영로 429 (동삼동, 해양대학교 교직원관사)"
866,K80vRrAu,2022-11-22,2023-05-23,한서원,장태양,Korean,영어,"320,000","800,000",1:1 (임원),경남 창원시 성산구 공단로 69 (신촌동)
867,pErXjlRQ,2023-03-18,2023-06-21,한현민,장은우,Korean,영어,"200,000","430,000",Language lab,"충북 청주시 흥덕구 풍산로 15 (가경동, 대우 메가폴리스)"
868,yuKKlGpv,2022-12-28,2023-07-23,강예서,한예원,Korean,영어,"295,000","765,000",Language lab,"경기 성남시 분당구 분당내곡로 117 (백현동, 크래프톤타워)"
869,ygbqDun1,2023-03-26,2024-06-19,장지아,이서윤,Korean,영어,"440,000","990,000",1:1 (임원),"서울 강남구 강남대로 488 (논현동, 대남빌딩)"
870,oqNC4dkO,2023-02-20,2023-07-23,장지아,이서윤,Korean,영어,"240,000","510,000",Group,
871,mNIuBsne,2023-03-27,2023-07-22,장지아,이서윤,Korean,영어,"620,000","756,000",1:1 (임원),"서울 마포구 상암산로 66 (상암동, CJ E&M CENTER)"
872,ySVdi8qK,2023-02-02,2023-07-14,장지아,이서윤,Korean,영어,"160,000","288,000",Group,
873,YNnVRf9U,2023-04-15,2023-07-12,장지아,이서윤,Korean,영어,"80,000","170,000",Group,
874,Y1Zn5nvh,2023-04-15,2023-07-12,장지아,이서윤,Korean,영어,"80,000","170,000",Group,
875,BK2K8bWL,2023-04-15,2023-07-12,장지아,이서윤,Korean,영어,"70,000","170,000",Group,
876,tIS4jytA,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
877,OCKW5dIJ,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
878,4sBWbu1W,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
879,6XWdG2FW,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
880,jl6joY2G,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
881,NkqnVp6g,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
882,ewvR4Uq3,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
883,FzLDi77b,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
884,MjULPSJg,2023-01-28,2023-06-29,유현호,유예준,Korean,영어,0,0,Group,
885,vxWa7qj5,2022-09-21,2023-07-23,한우민,최은우,F4,영어,"280,000","630,000",1:1 (임원),"부산 동구 범곡북로 15 (범일동, 범일동 서면 영동리원)"
886,oLwiY71s,2022-04-02,2023-07-23,한우민,황도현,F4,영어,"65,000","127,500",1:1 (임원),르노삼성자동차 부산 남문 내 갤러리 건물 교육장
887,zjO0qdSX,2023-03-18,2023-05-10,한우민,조서우,F4,영어,"405,000","702,000",1:1 (임원),"부산 사하구 다대로 지하 230 (장림동, 장림역)"
888,fEu27ugS,2023-03-26,2023-03-26,한우민,조서우,F4,영어,"700,000","2,800,000",Group,"부산 부산진구 중앙대로 993 (양정동, 시청역롯데골드로즈)"
889,mCFgozvd,2023-04-22,2023-04-22,한우민,조서우,F4,영어,"275,000","500,000",1:1 (임원),"부산 부산진구 거제천로40번길 31 (양정동, 시청어린이집)"
890,i1ztcWkj,2023-04-18,2023-04-18,한우민,장태양,F4,영어,"100,000","200,000",특강,경남 거제시 서문로5길 6 (고현동)
891,9CuXXwzS,2023-04-17,2023-04-17,한우민,장태양,F4,영어,"100,000","200,000",특강,"경남 통영시 광도면 죽림1로 69 (죽림리, 통영고용센터)"
892,3tkudddd,2023-04-16,2023-07-09,장윤예,황수현,F2/F5/F6,영어,"102,360","252,700",Language lab,"서울 서초구 남부순환로 2406 (서초동, 예술의전당)"
893,26GXbE08,2023-02-25,2023-05-20,송아아,강주원,F2/F5/F6,영어,"450,000","900,000",Group,"인천 서구 환경로 42 (경서동, 국립환경과학원)"
894,XsWi3qQ8,2023-02-26,2023-05-28,송아아,강주원,F2/F5/F6,영어,"350,000","700,000",Group,"인천 서구 환경로 42 (경서동, 국립환경과학원)"
895,LWasLrw8,2023-01-21,2023-04-22,송아아,김민준,F2/F5/F6,영어,"300,000","474,000",1:1 (임원),"서울 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크)"
896,Hm4FhnmL,2023-02-25,2023-04-23,송아아,강태윤,F2/F5/F6,영어,"600,000","1,140,000",1:1 (임원),"인천 남동구 예술로152번길 33 (구월동, KT&G)"
897,Q1GfzaFk,2023-02-21,2023-05-23,한은민,장은우,F2/F5/F6,영어,"480,000","855,000",1:1 (임원),"대전 대덕구 벚꽃길 71 (평촌동, KT&G)"
898,XkHdWLhA,2023-04-08,2023-06-27,유후서,강시우,F4,영어,"360,000","675,000",Group,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
899,r9g3aVJ8,2023-02-22,2023-08-09,유후서,서지훈,F4,영어,"342,000","990,000",1:1 (임원),"경기 성남시 분당구 판교역로 220 (삼평동, 쏠리테크)"
900,L5HbIVVc,2022-09-25,2023-04-19,유후서,이서윤,F4,영어,"228,000","510,000",Group,경기 성남시 분당구 판교로 332 (삼평동)
901,sg6ffsj4,2023-03-05,2023-06-05,송현하,황준영,Korean,영어,"342,000","900,000",Co-Active Learning,경기 용인시 수지구 포은대로59번길 18 (상현동)
902,lXyxpqCa,2023-03-25,2023-07-23,송현하,오현서,Korean,영어,"264,000","645,000",1:1 (임원),"경기 오산시 가장산업동로 14-9 (가장동, 램리서치매뉴팩춰링코리아)"
903,GxTedQye,2023-01-28,2023-05-02,송현하,황준영,Korean,영어,"342,000","900,000",Co-Active Learning,경기 화성시 동탄산단10길 20 (방교동)
904,faCJQCNE,2023-02-05,2023-05-07,송현하,문지후,Korean,영어,"416,000","913,000",Group,경기 수원시 영통구 창룡대로 236-31 (이의동)
905,4Bd1O33P,2023-04-15,2023-05-18,조현원,오현서,F4,영어,"157,500","390,000",1:1 (임원),"서울 서초구 남부순환로 2575 (서초동, 신방빌딩)"
906,4jGyicaO,2023-04-14,2023-04-14,조현원,김민준,F4,영어,"100,000","900,000",워크샵,경기 양평군 강하면 강남로 316 (전수리)
907,aZOul7eo,2022-10-08,2023-04-24,윤현윤,정다인,Korean,영어,"324,000","706,500",1:1 (임원),"서울 용산구 한강대로 100 (한강로2가, 아모레퍼시픽)"
908,otB9u4jf,2022-11-12,2023-04-04,윤현윤,정다인,Korean,영어,"72,000","157,000",1:1 (임원),"서울 용산구 한강대로 100 (한강로2가, 아모레퍼시픽)"
909,cvrCnwq7,2023-03-11,2023-06-07,윤현윤,배도희,Korean,영어,"252,000","553,000",Language lab,"서울 용산구 한강대로 32 (한강로3가, 엘지유플러스)"
910,DeM4GH3z,2022-09-05,2023-07-10,윤현윤,송우진,Korean,영어,"144,000","340,000",1:1 (임원),"서울 영등포구 은행로 14 (여의도동, 한국산업은행)"
911,XyoZnVpl,2022-12-14,2023-07-19,윤현윤,유하늘,Korean,영어,"108,000","255,000",1:1 (임원),"서울 중구 을지로 100 (을지로2가, 파인애비뉴)"
912,XuMcDBV0,2023-03-25,2023-04-12,유예후,이도윤,Korean,영어,"3,671,040","6,840,000",Intensive,경기 용인시 기흥구 삼성로 1 (농서동)
913,7Lxw89Mv,2023-04-09,2023-07-02,장후아,강주원,Korean,영어,"140,000","360,000",Group,"서울 용산구 한강대로 372 (동자동, 센트레빌아스테리움서울)"
914,GQIRK0vY,2023-04-12,2023-06-07,조아지,임하린,Korean,영어,"360,000","680,000",Intensive,"전북 군산시 동장산로 185 (소룡동, 두산인프라코어)"
915,Kbgjgolu,2023-02-04,2023-05-07,조아지,조태현,Korean,영어,"650,000","1,079,000",Group,전북 전주시 덕진구 혁신로 601 (여의동)
916,9ecCKV6K,2023-02-14,2023-07-23,윤서민,이도윤,Korean,영어,"350,000","532,000",Co-Active Learning,경기 화성시 삼성전자로 1-1 (반월동)
917,2jPybVTl,2023-03-24,2023-04-22,최도서,유예준,F2/F5/F6,영어,0,"3,522,727",기타,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)"
918,06BJ79No,2023-03-18,2023-06-14,유수지,장은우,F4,영어,"3,300,000","7,000,000",상주,"대전 유성구 유성대로1312번길 70 (장동, 한국수력원자력중앙연구원)"
919,8xx7m26P,2023-03-26,2023-04-21,김서도,윤하준,F2/F5/F6,영어,"350,000","630,000",Language lab,"서울 종로구 새문안로3길 30 (내수동, 대우빌딩)"
920,Kwf1LSy8,2023-04-09,2023-07-23,김서도,배도희,F2/F5/F6,영어,"100,000","158,000",1:1 (임원),"서울 강서구 마곡중앙8로 71 (마곡동, 엘지사이언스파크)"
921,uSZcPkRD,2022-07-25,2023-07-23,김서도,윤하준,F2/F5/F6,영어,"350,000","700,000",1:1 (임원),종각
922,Wb0TB6b4,2023-02-04,2023-05-08,조도후,문지후,Korean,영어,"360,000","830,000",Group,"경기 연천군 연천읍 연천로 311 (현가리, 한국전력공사연천지사)"
923,7NUPxP8E,2023-01-21,2023-07-23,윤지민,황수현,F4,영어,"245,000","574,000",Language lab,서울 동대문구 천호대로 84 (용두동)
924,B4fYCTWX,2023-03-04,2023-03-27,윤지민,강태윤,F4,영어,"70,000","180,000",Language lab,"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
925,FQLkNAPa,2023-03-05,2023-04-01,윤지민,강태윤,F4,영어,"105,000","270,000",Language lab,"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
926,STrulREG,2023-04-08,2023-05-08,윤지민,강태윤,F4,영어,"245,000","630,000",Language lab,"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
927,Obq4pZAZ,2023-04-09,2023-05-14,윤지민,강태윤,F4,영어,"140,000","360,000",Language lab,"서울 강남구 영동대로 416 (대치동, 케이티앤지 타워)"
928,yljzQ4xZ,2023-01-21,2023-04-18,송수원,황준영,Korean,영어,"280,000","420,000",Group,"경기 수원시 팔달구 효원로 1 (매산로3가, 경기도청)"
929,XBRTucLo,2023-04-08,2023-06-27,송수원,강시우,Korean,영어,"360,000","675,000",Group,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
930,VfJUio7r,2022-10-04,2023-05-23,송수원,장은서,Korean,영어,"320,000","560,000",Co-Active Learning,"경기 수원시 영통구 삼성로 130 (매탄동, 삼성전자공업단지)"
931,Qozi1TP7,2023-04-22,2023-05-23,송수원,서민지,Korean,영어,"40,000","65,000",1:1 (임원),"경기 수원시 영통구 삼성로 129 (매탄동, 삼성전자)"
932,ADuWdXXJ,2023-02-04,2023-04-19,조성원,한채원,F2/F5/F6,중국어,"560,000","910,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
933,OU7rpHyu,2023-02-04,2023-03-28,조성원,한채원,F2/F5/F6,중국어,"80,000","130,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
934,oPXQxAEo,2023-04-11,2023-06-14,한호현,조서우,Korean,영어,0,0,Language lab,경북 경주시 양남면 나아1길 10 (나아리)
935,hQ2py0hi,2023-03-18,2023-04-11,한호현,조서우,Korean,영어,0,"6,995,000",Language lab,경북 경주시 양남면 나아1길 10 (나아리)
936,nlUoTT6S,2023-03-12,2023-06-06,정아후,박지후,Korean,영어,"252,000","595,000",Group,"서울 강남구 봉은사로 115 (논현동, 노벨테크빌딩)"
937,mrrnTlv4,2023-02-04,2023-04-19,유채현,한채원,Korean,중국어,"520,000","910,000",Group,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
938,MUoqyCIR,2023-03-28,2023-06-27,유채현,한채원,Korean,중국어,"285,000","570,000",Group,"충북 진천군 이월면 고등1길 27 (노원리, SKC(주)진천공장)"
939,CckjwMz1,2023-04-15,2023-06-24,정원하,윤지민,Korean,영어,"180,000","564,942",Group,충북 청주시 흥덕구 덕암로17번길 10 (봉명동)
940,Pi1QKT68,2023-04-15,2023-06-25,정원하,윤지민,Korean,영어,"120,000","376,628",Group,"세종특별자치시 한누리대로 499 (어진동, 세종포스트빌딩)"
941,HpM4yQW8,2021-05-10,2024-10-16,윤하수,이서윤,Korean,영어,"200,000","425,000",1:1 (임원),
942,lYI7qI2u,2023-03-18,2023-04-26,임채예,정유나,F2/F5/F6,중국어,"1,254,000","3,040,000",Group,"충남 천안시 서북구 번영로 467 (성성동, 삼성SDI(주))"
943,Wj8OCYJs,2023-03-25,2023-06-21,임윤수,한채원,Korean,중국어,"228,000","390,000",Intensive,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
944,uaLCDk3O,2023-03-25,2023-06-21,임윤수,한채원,Korean,중국어,"1,710,000","2,925,000",Intensive,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
945,KYkE1sl6,2023-03-25,2023-06-21,임윤수,한채원,Korean,중국어,"1,330,000","2,275,000",Intensive,"충북 청주시 흥덕구 대신로 215 (향정동, 하이닉스반도체청주사업장)"
946,jX7cbtTA,2022-12-31,2023-03-29,유성아,장태양,Korean,영어,"200,000","500,000",Group,전남 여수시 여수산단4로 56 (중흥동)
